| 日付 | 学習テーマ         | 学習トピック                                                                                                                                                           | 学習内容詳細                                                                                                                                                                                                                            |
| :--- | :----------------- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 1日目 | 開発環境・操作      | ・Python開発環境の準備<br>・VSCodeでの操作<br>・基本的なコマンド                                                                                                                                          | ・Pythonのインストール<br>・VSCodeのインストールと使い方<br>・ターミナルの基本操作(ファイル操作、ディレクトリ移動など)                                                                                                                     |
| 2日目 | 変数・型・演算     | ・基本的な型の理解<br>・代入と演算                                                                                                                                                                          | ・数値、文字列、真偽値などの型の違い<br>・変数への値の代入<br>・算術演算子、比較演算子、論理演算子                                                                                                                                          |
| 3日目 | 文字列操作         | ・スライス<br>・フォーマット                                                                                                                                                                              | ・文字列の一部を取り出すスライス<br>・f-stringなどを使った文字列の整形                                                                                                                                                                      |
| 4日目 | リスト・辞書       | ・リストの操作(追加、削除、参照)<br>・辞書の操作(追加、削除、参照)                                                                                                                                              | ・リストへの要素の追加(append, extend, insert)と削除(remove, pop, del)<br>・リストの要素へのアクセス<br>・辞書へのキーと値の追加、更新、削除<br>・辞書のキーや値を使ったアクセス                                                                      |
| 5日目 | ループ・条件分岐    | ・for/whileループ<br>・if/elif/else                                                                                                                                                                      | ・forループを使った繰り返し処理<br>・whileループを使った繰り返し処理<br>・if, elif, elseを使った条件に応じた処理の分岐                                                                                                                           |
| 6日目 | 関数定義と標準ライブラリ | ・defを使った関数の定義<br>・よく使う標準ライブラリ                                                                                                                                                           | ・引数と戻り値を持つ関数の定義と呼び出し<br>・math, random, datetimeなどの標準ライブラリの使い方                                                                                                                                            |
| 7日目 | NumPy入門          | ・ndarrayの生成と操作<br>・基本的なdtype                                                                                                                                                                   | ・NumPy配列(ndarray)の作成(array, zeros, ones, arange)<br>・配列の形状変更(reshape)<br>・配列の要素へのアクセス(インデックス指定、スライス)<br>・基本的なデータ型(int, float, boolなど)                                                                 |
| 8日目 | matplotlib基礎     | ・折れ線・棒グラフ<br>・散布図<br>・グラフのカスタマイズ                                                                                                                                                          | ・pyplotを使った基本的なグラフ描画<br>・複数のグラフの表示<br>・軸ラベル、タイトル、凡例の設定<br>・グラフの保存                                                                                                                                |
| 9日目 | PyTorchの基本      | ・Tensorの生成と操作<br>・autograd<br>・GPU(cuda)利用                                                                                                                                                         | ・テンソルの作成(torch.tensor, torch.zeros, torch.ones)<br>・テンソルの演算(加算、乗算など)<br>・自動微分機能の理解と使い方<br>・GPUが利用可能な場合のデータ転送と計算                                                                           |
| 10日目 | Deep Learningの基本 | ・Dataset/DataLoader<br>・簡単なモデル定義                                                                                                                                                                | ・独自のデータセットを作成する方法<br>・DataLoaderを使ったミニバッチ処理<br>・nn.Moduleを使った簡単なニューラルネットワークの定義                                                                                                               |
| 11日目 | 活性化関数と損失関数 | ・ステップ関数、シグモイド関数、ReLU関数など<br>・二乗誤差、クロスエントロピー誤差                                                                                                                                   | ・各活性化関数の特徴と使い分け<br>・回帰問題における二乗誤差の計算<br>・分類問題におけるクロスエントロピー誤差の計算                                                                                                                              |
| 12日目 | 勾配降下法と学習率 | ・誤差関数の概念<br>・勾配降下法<br>・バックプロパゲーション<br>・学習率の調整                                                                                                                                           | ・誤差関数を最小化するための勾配降下法の仕組み<br>・誤差逆伝播法による勾配の計算<br>・学習率が学習に与える影響と適切な学習率の設定                                                                                                                    |
| 13日目 | Irisデータセットで学習 | ・Irisデータセットの読み込み<br>・簡単なNNの学習                                                                                                                                                           | ・sklearnのdatasetsからIrisデータをロード<br>・前処理(特徴量のスケーリングなど)<br>・簡単な全結合NNモデルを定義し、学習データを使って学習<br>・学習済みモデルでの推論                                                                             |
| 14日目 | 評価指標と可視化 | ・精度(Accuracy)<br>・混同行列<br>・決定境界の可視化                                                                                                                                                           | ・分類問題における精度の計算<br>・混同行列によるモデルの評価<br>・学習済みモデルの決定境界をグラフで表示                                                                                                                                       |
| 15日目 | MLPの実装       | ・隠れ層を持つNNの定義<br>・誤差逆伝播の実装<br>・学習と評価                                                                                                                                                            | ・複数の全結合層を持つニューラルネットワークモデルの定義<br>・手動での誤差逆伝播計算とパラメータ更新(理論理解のため)<br>・定義したMLPモデルを使ってデータセットを学習させ、評価                                                                  |
